11786 pts/3    00:04:10 python
  PID TTY          TIME CMD
11715 pts/3    00:00:00 bash
12116 pts/3    00:00:00 bash
12117 pts/3    00:00:13 python
12133 pts/3    00:00:00 ps
  PID TTY          TIME CMD
12360 pts/0    00:00:00 bash
12458 pts/0    00:00:00 bash
12459 pts/0    00:00:01 python
12473 pts/0    00:00:00 ps
  PID TTY          TIME CMD
12683 pts/3    00:00:00 bash
12698 pts/3    00:00:00 bash
12699 pts/3    00:00:00 python
12700 pts/3    00:00:00 ps
  PID TTY          TIME CMD
12878 pts/5    00:00:00 bash
12956 pts/5    00:00:00 bash
12957 pts/5    00:00:20 python
12974 pts/5    00:00:00 ps
  PID TTY          TIME CMD
12878 pts/5    00:00:00 bash
13035 pts/5    00:00:00 bash
13036 pts/5    00:00:15 python
13053 pts/5    00:00:00 ps
  PID TTY          TIME CMD
15035 pts/3    00:00:00 bash
15249 pts/3    00:00:00 bash
15250 pts/3    00:00:00 python
15251 pts/3    00:00:00 ps
  PID TTY          TIME CMD
16527 pts/5    00:00:00 bash
16615 pts/5    00:00:00 bash
16616 pts/5    00:00:01 python
16631 pts/5    00:00:00 ps
21643 pts/0    00:00:00 bash
21910 pts/0    00:00:00 bash
21911 pts/0    00:00:01 python
21926 pts/0    00:00:00 ps
